,
city,yr_2019
"New York city, New York","8,336,817"
"Los Angeles city, California","3,979,576"
"Chicago city, Illinois","2,693,976"
"Houston city, Texas","2,320,268"
"Phoenix city, Arizona","1,680,992"
"Philadelphia city, Pennsylvania","1,584,064"
"San Antonio city, Texas","1,547,253"
"San Diego city, California","1,423,851"
"Dallas city, Texas","1,343,573"
"San Jose city, California","1,021,795"
"Austin city, Texas","978,908"
"Jacksonville city, Florida","911,507"
"Fort Worth city, Texas","909,585"
"Columbus city, Ohio","898,553"
"Charlotte city, North Carolina","885,708"
"San Francisco city, California","881,549"
"Indianapolis city (balance), Indiana","876,384"
"Seattle city, Washington","753,675"
"Denver city, Colorado","727,211"
"Washington city, District of Columbia","705,749"
"Boston city, Massachusetts","692,600"
"El Paso city, Texas","681,728"
"Nashville-Davidson metropolitan government (balance), Tennessee","670,820"
"Detroit city, Michigan","670,031"
"Oklahoma City city, Oklahoma","655,057"
"Portland city, Oregon","654,741"
"Las Vegas city, Nevada","651,319"
"Memphis city, Tennessee","651,073"
"Louisville/Jefferson County metro government (balance), Kentucky","617,638"
"Baltimore city, Maryland","593,490"
"Milwaukee city, Wisconsin","590,157"
"Albuquerque city, New Mexico","560,513"
"Tucson city, Arizona","548,073"
"Fresno city, California","531,576"
"Mesa city, Arizona","518,012"
"Sacramento city, California","513,624"
"Atlanta city, Georgia","506,811"
"Kansas City city, Missouri","495,327"
"Colorado Springs city, Colorado","478,221"
"Omaha city, Nebraska","478,192"
"Raleigh city, North Carolina","474,069"
"Miami city, Florida","467,963"
"Long Beach city, California","462,628"
"Virginia Beach city, Virginia","449,974"
"Oakland city, California","433,031"
"Minneapolis city, Minnesota","429,606"
"Tulsa city, Oklahoma","401,190"
"Tampa city, Florida","399,700"
"Arlington city, Texas","398,854"
"New Orleans city, Louisiana","390,144"
"Wichita city, Kansas","389,938"
"Bakersfield city, California","384,145"
"Cleveland city, Ohio","381,009"
"Aurora city, Colorado","379,289"
"Anaheim city, California","350,365"
"Urban Honolulu CDP, Hawaii","345,064"
"Santa Ana city, California","332,318"
"Riverside city, California","331,360"
"Corpus Christi city, Texas","326,586"
"Lexington-Fayette urban county, Kentucky","323,152"
"Henderson city, Nevada","320,189"
"Stockton city, California","312,697"
"St. Paul city, Minnesota","308,096"
"Cincinnati city, Ohio","303,940"
"St. Louis city, Missouri","300,576"
"Pittsburgh city, Pennsylvania","300,286"
"Greensboro city, North Carolina","296,710"
"Lincoln city, Nebraska","289,102"
"Anchorage municipality, Alaska","288,000"
"Plano city, Texas","287,677"
"Orlando city, Florida","287,442"
"Irvine city, California","287,401"
"Newark city, New Jersey","282,011"
"Durham city, North Carolina","278,993"
"Chula Vista city, California","274,492"
"Toledo city, Ohio","272,779"
"Fort Wayne city, Indiana","270,402"
"St. Petersburg city, Florida","265,351"
"Laredo city, Texas","262,491"
"Jersey City city, New Jersey","262,075"
"Chandler city, Arizona","261,165"
"Madison city, Wisconsin","259,680"
"Lubbock city, Texas","258,862"
"Scottsdale city, Arizona","258,069"
"Reno city, Nevada","255,601"
"Buffalo city, New York","255,284"
"Gilbert town, Arizona","254,114"
"Glendale city, Arizona","252,381"
"North Las Vegas city, Nevada","251,974"
"Winston-Salem city, North Carolina","247,945"
"Chesapeake city, Virginia","244,835"
"Norfolk city, Virginia","242,742"
"Fremont city, California","241,110"
"Garland city, Texas","239,928"
"Irving city, Texas","239,798"
"Hialeah city, Florida","233,339"
"Richmond city, Virginia","230,436"
"Boise City city, Idaho","228,959"
"Spokane city, Washington","222,081"
"Baton Rouge city, Louisiana","220,236"
"Tacoma city, Washington","217,827"
"San Bernardino city, California","215,784"
"Modesto city, California","215,196"
"Fontana city, California","214,547"
"Des Moines city, Iowa","214,237"
"Moreno Valley city, California","213,055"
"Santa Clarita city, California","212,979"
"Fayetteville city, North Carolina","211,657"
"Birmingham city, Alabama","209,403"
"Oxnard city, California","208,881"
"Rochester city, New York","205,695"
"Port St. Lucie city, Florida","201,846"
"Grand Rapids city, Michigan","201,013"
"Huntsville city, Alabama","200,574"
