"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id","logpop"
"Miami","Miami","FL","Florida",12086,"Miami-Dade",25.7839,-80.2102,6445545,5019,"polygon",FALSE,TRUE,"America/New_York",1,"33129 33125 33126 33127 33128 33149 33144 33145 33142 33139 33138 33137 33136 33135 33134 33133 33132 33131 33130 33150 33101 33109 33111 33151 33222 33231 33233 33238 33255 33299",1840015149,15.678899752456
"Portland","Portland","OR","Oregon",41051,"Multnomah",45.5372,-122.65,2074775,1894,"polygon",FALSE,TRUE,"America/Los_Angeles",1,"97227 97221 97220 97229 97203 97202 97201 97206 97205 97204 97209 97208 97266 97218 97236 97232 97233 97230 97239 97219 97214 97215 97216 97217 97210 97211 97212 97213 97207 97228 97238 97240 97242 97250 97251 97252 97253 97254 97256 97280 97282 97283 97286 97290 97291 97292 97293 97294",1840019941,14.5453632720326
"Detroit","Detroit","MI","Michigan",26163,"Wayne",42.3834,-83.1024,3506126,1864,"polygon",FALSE,TRUE,"America/Detroit",1,"48209 48208 48201 48207 48205 48204 48203 48206 48227 48238 48239 48234 48235 48233 48202 48243 48214 48215 48216 48217 48210 48211 48212 48213 48219 48228 48224 48226 48221 48223 48231 48232 48244 48255 48260 48264 48266 48267 48268 48269 48272 48275 48277 48278 48279 48288",1840003971,15.0700222822089
"San Francisco","San Francisco","CA","California",6075,"San Francisco",37.7562,-122.443,3592294,7256,"polygon",FALSE,TRUE,"America/Los_Angeles",1,"94130 94131 94132 94133 94134 94109 94108 94103 94102 94105 94104 94158 94127 94124 94123 94122 94121 94129 94118 94110 94112 94116 94117 94114 94115 94111 94107 94119 94120 94125 94126 94137 94139 94140 94141 94142 94143 94144 94145 94146 94147 94151 94159 94160 94161 94163 94164 94172 94177 94188",1840021543,15.0943015536072
"Boston","Boston","MA","Massachusetts",25025,"Suffolk",42.3188,-71.0846,4688346,5532,"polygon",FALSE,TRUE,"America/New_York",1,"02120 02121 02122 02124 02125 02126 02127 02128 02129 02467 02210 02215 02119 02118 02111 02110 02113 02115 02114 02116 02199 02134 02136 02135 02132 02131 02130 02203 02163 02152 02108 02109 02112 02117 02123 02133 02137 02196 02201 02205 02206 02211 02212 02217 02222 02241 02283 02284 02293 02297 02298",1840000455,15.3605904129762
"Jacksonville","Jacksonville","FL","Florida",12031,"Duval",30.3322,-81.6749,1181496,470,"polygon",FALSE,TRUE,"America/New_York",1,"32224 32225 32226 32227 32220 32221 32222 32223 32228 32219 32218 32217 32216 32211 32210 32212 32246 32244 32233 32234 32209 32205 32202 32250 32254 32257 32256 32208 32206 32207 32258 32277 32204 32099 32201 32203 32214 32229 32231 32232 32235 32236 32238 32239 32241 32245 32247 32255",1840015031,13.9822919900765
"Columbus","Columbus","OH","Ohio",39049,"Franklin",39.9862,-82.985,1562009,1582,"polygon",FALSE,TRUE,"America/New_York",1,"43026 43109 43054 43220 43221 43222 43223 43224 43081 43228 43227 43211 43213 43212 43215 43214 43217 43219 43002 43004 43068 43085 43240 43229 43235 43232 43231 43230 43119 43110 43017 43016 43137 43210 43202 43203 43201 43206 43207 43204 43205 43209 43218 43236 43251 43260 43266 43268 43270 43271 43272 43279 43287 43291",1840003760,14.261483371209
"Lotsee","Lotsee","OK","Oklahoma",40143,"Tulsa",36.1334,-96.2091,2,39,"polygon",FALSE,TRUE,"America/Chicago",3,"74063",1840021674,0.693147180559945
"Gross","Gross","NE","Nebraska",31015,"Boyd",42.9461,-98.5697,2,6,"polygon",FALSE,TRUE,"America/Chicago",3,"68719",1840011032,0.693147180559945
"Indianapolis","Indianapolis","IN","Indiana",18097,"Marion",39.7771,-86.1458,1588961,935,"polygon",FALSE,TRUE,"America/Indiana/Indianapolis",1,"46218 46219 46217 46214 46260 46268 46224 46228 46183 46231 46234 46235 46236 46237 46239 46250 46208 46201 46203 46202 46205 46204 46256 46254 46259 46227 46226 46225 46222 46221 46220 46229 46113 46278 46241 46240 46206 46207 46209 46230 46242 46244 46247 46251 46253 46255 46262 46277 46282 46283 46285 46288 46298",1840030084,14.2785909014795
"Brooklyn","Brooklyn","NY","New York",36047,"Kings",40.6501,-73.9496,2559903,14221,"polygon",FALSE,TRUE,"America/New_York",1,"11212 11213 11216 11233 11238 11209 11214 11228 11204 11218 11219 11230 11234 11236 11239 11223 11224 11229 11235 11201 11205 11215 11217 11231 11203 11210 11225 11226 11207 11208 11211 11222 11220 11232 11206 11221 11237",1840034030,14.7554799251129
"Kansas City","Kansas City","MO","Missouri",29095,"Jackson",39.1239,-94.5541,1636715,607,"polygon",FALSE,TRUE,"America/Chicago",1,"64161 64163 64165 64167 64053 64151 64153 64155 64154 64157 64156 64158 64108 64109 64102 64106 64105 64101 64128 64129 64124 64125 64126 64127 64120 64123 64164 64166 64192 64119 64118 64114 64117 64116 64111 64110 64113 64112 64132 64130 64146 64145 64149 64147 64139 64138 64133 64131 64137 64136 64134 64121 64141 64148 64162 64170 64171 64179 64180 64184 64187 64188 64191 64195 64196 64197 64198 64199 64999",1840008535,14.3082017422348
"San Jose","San Jose","CA","California",6085,"Santa Clara",37.3019,-121.8486,1798103,2218,"polygon",FALSE,TRUE,"America/Los_Angeles",1,"95118 95128 95124 95125 95123 95008 95002 95117 95116 95111 95110 95113 95112 95119 95126 95127 95120 95121 95148 95133 95132 95131 95130 95136 95135 95134 95139 95138 95037 95013 95129 95122 95101 95103 95106 95109 95115 95141 95150 95151 95153 95154 95155 95156 95157 95158 95159 95160 95161 95164 95172 95173 95190 95191 95192 95193 95194 95196",1840021570,14.4022427782461
"Monowi","Monowi","NE","Nebraska",31015,"Boyd",42.8307,-98.3296,1,1,"polygon",FALSE,TRUE,"America/Chicago",3,"68746",1840011034,0
"Pittsburgh","Pittsburgh","PA","Pennsylvania",42003,"Allegheny",40.4396,-79.9762,1703266,2093,"polygon",FALSE,TRUE,"America/New_York",1,"15216 15217 15214 15212 15213 15210 15211 15218 15219 15290 15232 15233 15260 15205 15204 15207 15206 15201 15203 15208 15224 15234 15222 15221 15220 15226 15120 15230 15240 15250 15251 15252 15253 15254 15255 15257 15258 15259 15261 15262 15264 15265 15267 15270 15272 15274 15279 15281 15282 15286 15289 15295",1840001254,14.3480581423978
"Hillsview","Hillsview","SD","South Dakota",46089,"McPherson",45.6642,-99.5607,3,1,"polygon",FALSE,TRUE,"America/Chicago",3,"57437",1840002025,1.09861228866811
"Bronx","Bronx","NY","New York",36005,"Bronx",40.8501,-73.8662,1418207,12862,"polygon",FALSE,TRUE,"America/New_York",1,"10453 10457 10460 10458 10467 10468 10451 10452 10456 10454 10455 10459 10474 10463 10471 10466 10469 10470 10475 10461 10462 10464 10465 10472 10473",1840033999,14.164903955674
"Dallas","Dallas","TX","Texas",48113,"Dallas",32.7936,-96.7662,5743938,1526,"polygon",FALSE,TRUE,"America/Chicago",1,"75287 75098 75233 75254 75251 75252 75253 75032 75238 75232 75230 75231 75236 75237 75234 75235 75088 75087 75243 75246 75244 75249 75248 75051 75166 75210 75211 75212 75214 75215 75216 75217 75218 75219 75390 75182 75229 75228 75220 75223 75225 75224 75227 75226 75241 75240 75247 75270 75043 75207 75206 75205 75204 75203 75202 75201 75209 75208 75019 75221 75222 75242 75250 75260 75262 75263 75264 75266 75267 75277 75283 75284 75285 75301 75303 75312 75313 75315 75320 75336 75339 75342 75354 75355 75356 75357 75358 75359 75360 75367 75370 75371 75372 75373 75374 75376 75378 75379 75380 75382 75389 75392 75393 75394 75395 75397 75398",1840019440,15.5636555957801
"White Rock","White Rock","SD","South Dakota",46109,"Roberts",45.9248,-96.576,3,0,"polygon",FALSE,TRUE,"America/Chicago",3,"57260",1840020692,1.09861228866811
"Orlando","Orlando","FL","Florida",12095,"Orange",28.4772,-81.3369,1822394,1003,"polygon",FALSE,TRUE,"America/New_York",1,"32829 32827 32824 32822 32804 32805 32806 32807 32801 32803 32808 32839 32835 32832 32819 32811 32814 32812 32802 32853 32854 32856 32861 32862 32872 32877 32885 32886 32891 32897",1840015099,14.4156615793079
"Milwaukee","Milwaukee","WI","Wisconsin",55079,"Milwaukee",43.0642,-87.9673,1365787,2369,"polygon",FALSE,TRUE,"America/Chicago",1,"53203 53202 53207 53206 53205 53204 53209 53208 53233 53211 53218 53219 53214 53215 53216 53210 53212 53213 53295 53225 53224 53227 53226 53221 53220 53223 53222 53228 53201 53237 53259 53263 53274 53278 53288 53290 53293",1840003046,14.1272413772328
"Tampa","Tampa","FL","Florida",12057,"Hillsborough",27.9942,-82.4451,2908063,1353,"polygon",FALSE,TRUE,"America/New_York",1,"33637 33629 33621 33620 33619 33616 33613 33610 33617 33614 33611 33612 33605 33603 33647 33609 33604 33607 33606 33602 33608 33622 33623 33630 33631 33633 33646 33650 33655 33664 33672 33673 33674 33677 33679 33681 33684 33686 33689",1840015982,14.882997781775
"Cincinnati","Cincinnati","OH","Ohio",39061,"Hamilton",39.1413,-84.5061,1662691,1507,"polygon",FALSE,TRUE,"America/New_York",1,"45219 45213 45212 45211 45217 45216 45214 45233 45225 45237 45229 45226 45227 45224 45232 45230 45204 45205 45206 45207 45202 45203 45208 45209 45223 45239 45238 45220 45201 45221 45250 45254 45262 45263 45264 45267 45268 45269 45270 45271 45273 45274 45275 45296 45298 45299 45999",1840003814,14.3239479321312
"Las Vegas","Las Vegas","NV","Nevada",32003,"Clark",36.2333,-115.2654,2104198,1773,"polygon",FALSE,TRUE,"America/Los_Angeles",1,"89107 89106 89104 89102 89101 89108 89138 89130 89131 89134 89143 89146 89145 89144 89149 89124 89110 89117 89129 89128 88901 88905 89105 89114 89116 89125 89126 89127 89133 89137 89140 89151 89152 89153 89155 89158 89163 89185 89195",1840020364,14.5594449548759
"The Ranch","The Ranch","MN","Minnesota",27087,"Mahnomen",47.3198,-95.6952,2,2,"polygon",FALSE,TRUE,"America/Chicago",3,"56557",1840039629,0.693147180559945
"Portage Creek","Portage Creek","AK","Alaska",2070,"Dillingham",58.9051,-157.6695,3,0,"polygon",FALSE,FALSE,"America/Anchorage",3,"99576",1840023660,1.09861228866811
